gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16384,6144,7168,opus,9000,0,583.2655,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2474.19,622.03,0.0
gfx950,256,20480,6144,7168,opus,9000,0,773.9428,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2330.77,571.75,0.0
gfx950,256,24576,6144,7168,opus,9000,0,867.1956,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2496.17,602.16,0.0
gfx950,256,28672,6144,7168,opus,9000,0,1066.4286,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2368.13,564.39,0.0
gfx950,256,32768,6144,7168,opus,9000,0,1168.8407,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2469.3,583.12,0.0
gfx950,256,40960,6144,7168,opus,9000,0,1463.6,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2465.0,574.58,0.0
gfx950,256,49152,6144,7168,opus,9000,0,1739.2507,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2489.19,575.16,0.0
gfx950,256,57344,6144,7168,opus,9000,0,2033.7209,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2483.57,570.25,0.0
gfx950,256,65536,6144,7168,opus,9000,0,2312.2491,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2496.46,570.49,0.0
gfx950,256,2048,7168,384,opus,9000,0,16.2,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,695.94,2030.81,0.0
gfx950,256,2048,7168,768,opus,9000,0,20.7952,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1084.32,1752.23,0.0
gfx950,256,2048,7168,1024,opus,9000,0,23.2328,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1294.07,1669.94,0.0
gfx950,256,2048,7168,3072,opus,9000,0,49.2554,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1831.16,1170.87,0.0
